id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1551602447151312897,1551602447151312897,2022-07-25 09:17:05 Pacific Daylight Time,2022-07-25,09:17:05,-0700,241382835,prattprattpratt,Chris Pratt,,"Reminded once again in Hall H at San Diego Comic-Con, that we have the best fans in the world. May 5, 2023 get ready for the best @Marvel film to date. @Guardians  https://t.co/jnQgluMpm8",en,"[{'screen_name': 'marvel', 'name': 'marvel entertainment', 'id': '15687962'}, {'screen_name': 'guardians', 'name': 'guardians of the galaxy', 'id': '701667727'}]",[],"['https://pbs.twimg.com/media/FYhmMatVQAAI9pG.jpg', 'https://pbs.twimg.com/media/FYhmMapUIAAdbRQ.jpg', 'https://pbs.twimg.com/media/FYhmMasUcAEduWr.jpg']",138,527,7633,[],[],https://twitter.com/prattprattpratt/status/1551602447151312897,False,,1,https://pbs.twimg.com/media/FYhmMatVQAAI9pG.jpg,,,,,,,[],,,,
1550959308631732224,1550959308631732224,2022-07-23 14:41:29 Pacific Daylight Time,2022-07-23,14:41:29,-0700,241382835,prattprattpratt,Chris Pratt,,Sneak peak @Comic_Con  https://t.co/UsNKknPiku,en,"[{'screen_name': 'comic_con', 'name': 'san diego comic-con', 'id': '16786977'}]",[],[],145,278,3777,[],[],https://twitter.com/prattprattpratt/status/1550959308631732224,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1550959245033480192/pu/img/l9uitZ2xrdE4F5Ab.jpg,,,,,,,[],,,,
1550573088328208384,1550573088328208384,2022-07-22 13:06:47 Pacific Daylight Time,2022-07-22,13:06:47,-0700,241382835,prattprattpratt,Chris Pratt,,"As a @SpecialOlympics Global Ambassador, I'm proud to see our Champions of Inclusion being celebrated this summer. Together, let’s build a generation that plays together and leads together. Visit  https://t.co/yd8tD0ec31 and sign the Inclusion Pledge! #InclusionRevolution  https://t.co/xOK1wyvbKK",en,"[{'screen_name': 'specialolympics', 'name': 'special olympics', 'id': '19598173'}]",['http://specialolympics.org'],[],50,90,1225,['inclusionrevolution'],[],https://twitter.com/prattprattpratt/status/1550573088328208384,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1550570755502485504/pu/img/NejogVqRa-hEeSPf.jpg,,,,,,,[],,,,
1550179838392029184,1550179838392029184,2022-07-21 11:04:09 Pacific Daylight Time,2022-07-21,11:04:09,-0700,241382835,prattprattpratt,Chris Pratt,,"If we had a band, this would be our album cover. Accepting name suggestions below 👇🏻 @TerminalListPV @PSchwarzenegger #TaylorKitsch #JaredShaw  https://t.co/1PtEh9LkRE",en,"[{'screen_name': 'terminallistpv', 'name': 'the terminal list', 'id': '936372912642068481'}, {'screen_name': 'pschwarzenegger', 'name': 'patrick shriver', 'id': '41298605'}]",[],['https://pbs.twimg.com/media/FYNYWH3UcAESA-L.jpg'],1671,299,8506,"['taylorkitsch', 'jaredshaw']",[],https://twitter.com/prattprattpratt/status/1550179838392029184,False,,1,https://pbs.twimg.com/media/FYNYWH3UcAESA-L.jpg,,,,,,,[],,,,
1549199948448534528,1549199948448534528,2022-07-18 18:10:25 Pacific Daylight Time,2022-07-18,18:10:25,-0700,241382835,prattprattpratt,Chris Pratt,,Lookin cut @TerminalListPV  https://t.co/5TStLUgCq1,en,"[{'screen_name': 'terminallistpv', 'name': 'the terminal list', 'id': '936372912642068481'}]",[],['https://pbs.twimg.com/media/FX_dI8sUcAAiMF3.jpg'],517,420,14692,[],[],https://twitter.com/prattprattpratt/status/1549199948448534528,False,,1,https://pbs.twimg.com/media/FX_dI8sUcAAiMF3.jpg,,,,,,,[],,,,
1548006002502471680,1548006002502471680,2022-07-15 11:06:06 Pacific Daylight Time,2022-07-15,11:06:06,-0700,241382835,prattprattpratt,Chris Pratt,,"Surreal watching this back – over 2 years ago I pitched @TerminalListPV to @PrimeVideo. My buddy Jared Shaw brought @JackCarrUSA's book to me &amp; I knew that this had to be on TV It not only gave me the opportunity to grow as an actor, but as a producer as well. Thanks for watching  https://t.co/sTqMuXkAoR",en,"[{'screen_name': 'terminallistpv', 'name': 'the terminal list', 'id': '936372912642068481'}, {'screen_name': 'primevideo', 'name': 'prime video', 'id': '17220817'}, {'screen_name': 'jackcarrusa', 'name': 'jack carr', 'id': '895854672400883713'}]",[],[],473,357,5460,[],[],https://twitter.com/prattprattpratt/status/1548006002502471680,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1548001131359481857/pu/img/npRsJpf9DoxnVE70.jpg,,,,,,,[],,,,
1547014624318435328,1547014624318435328,2022-07-12 17:26:43 Pacific Daylight Time,2022-07-12,17:26:43,-0700,241382835,prattprattpratt,Chris Pratt,,Simple mixup @terminallistpv  https://t.co/5L2zrVnuEr,en,"[{'screen_name': 'terminallistpv', 'name': 'the terminal list', 'id': '936372912642068481'}]",[],[],140,232,4434,[],[],https://twitter.com/prattprattpratt/status/1547014624318435328,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1547014547294146560/pu/img/xapX4eMTvPbmqK8G.jpg,,,,,,,[],,,,
1546173728400150528,1546173621344686082,2022-07-10 09:45:18 Pacific Daylight Time,2022-07-10,09:45:18,-0700,241382835,prattprattpratt,Chris Pratt,,It’s been such an honor sharing this journey with you. @BryceDHoward,en,"[{'screen_name': 'brycedhoward', 'name': 'bryce dallas howard', 'id': '4274372981'}]",[],[],42,97,3314,[],[],https://twitter.com/prattprattpratt/status/1546173728400150528,False,,0,,,,,,,,[],,,,
1546173621344686082,1546173621344686082,2022-07-10 09:44:52 Pacific Daylight Time,2022-07-10,09:44:52,-0700,241382835,prattprattpratt,Chris Pratt,,It’s been 1 month since #JurassicWorldDominion hit theaters and I can’t help but think about my partner through it all. You’ve been by my side through this crazy ride for over 8 years and I wouldn’t have it any other way. 8 extraordinary years. 3 fantastic films. @BryceDHoward  https://t.co/nv3FUI3eHF,en,"[{'screen_name': 'brycedhoward', 'name': 'bryce dallas howard', 'id': '4274372981'}]",[],"['https://pbs.twimg.com/media/FXUctoYVQAAo5xx.jpg', 'https://pbs.twimg.com/media/FXUctoZVUAARgHb.jpg']",306,927,22830,['jurassicworlddominion'],[],https://twitter.com/prattprattpratt/status/1546173621344686082,False,,1,https://pbs.twimg.com/media/FXUctoYVQAAo5xx.jpg,,,,,,,[],,,,
1545560592051687424,1545560507150544897,2022-07-08 17:08:54 Pacific Daylight Time,2022-07-08,17:08:54,-0700,241382835,prattprattpratt,Chris Pratt,,Sprint to the theaters and see what everyone is calling the best @thorofficial yet!,en,"[{'screen_name': 'thorofficial', 'name': 'thor', 'id': '701625379'}]",[],[],99,123,4110,[],[],https://twitter.com/prattprattpratt/status/1545560592051687424,False,,0,,,,,,,,[],,,,
1545560507150544897,1545560507150544897,2022-07-08 17:08:34 Pacific Daylight Time,2022-07-08,17:08:34,-0700,241382835,prattprattpratt,Chris Pratt,,Nobody on Earth is more right for @thorofficial than this man @chrishemsworth. What a stud. What a star. What a movie! Forever grateful. Thanks to @TaikaWaititi for including us!  Thanks to everyone in Australia who took such good care of us.  https://t.co/vDbwLU2HEv,en,"[{'screen_name': 'thorofficial', 'name': 'thor', 'id': '701625379'}, {'screen_name': 'chrishemsworth', 'name': 'chris hemsworth', 'id': '3063032281'}, {'screen_name': 'taikawaititi', 'name': 'taika waititi', 'id': '95610041'}]",[],['https://pbs.twimg.com/media/FXLvEUXUsAAv5S-.jpg'],513,3346,65506,[],[],https://twitter.com/prattprattpratt/status/1545560507150544897,False,,1,https://pbs.twimg.com/media/FXLvEUXUsAAv5S-.jpg,,,,,,,[],,,,
1544830847777353729,1544704797755838465,2022-07-06 16:49:10 Pacific Daylight Time,2022-07-06,16:49:10,-0700,241382835,prattprattpratt,Chris Pratt,,@stylebender You’re right. I’m sorry brutha. It bugs me when people criticize my work- having never themselves risked anything. It makes me a hypocrite to do exactly that to you. My bad. Keep on keeping on champ. 🙏🏻♥️,en,[],[],[],637,263,10164,[],[],https://twitter.com/prattprattpratt/status/1544830847777353729,False,,0,,,,,,,,"[{'screen_name': 'stylebender', 'name': 'Israel Adesanya', 'id': '105499378'}]",,,,
1544718983680499713,1544718929712467969,2022-07-06 09:24:39 Pacific Daylight Time,2022-07-06,09:24:39,-0700,241382835,prattprattpratt,Chris Pratt,,"Thank you for letting us make the show we wanted to make. Thanks to all who helped get us there! If you haven’t seen @TerminalListPV yet, check it out!",en,"[{'screen_name': 'terminallistpv', 'name': 'the terminal list', 'id': '936372912642068481'}]",[],[],236,104,2149,[],[],https://twitter.com/prattprattpratt/status/1544718983680499713,False,,0,,,,,,,,[],,,,
1544718929712467969,1544718929712467969,2022-07-06 09:24:26 Pacific Daylight Time,2022-07-06,09:24:26,-0700,241382835,prattprattpratt,Chris Pratt,,"Well that’s two years in a row that the 4th of July weekend belongs to Amazon @PrimeVideo. Last year, it was #TheTomorrowWar. This year, it’s #TheTerminalList! I’m so grateful for my relationship with @JSalke and everyone at Amazon!  https://t.co/lOhXdmVb1H",en,"[{'screen_name': 'primevideo', 'name': 'prime video', 'id': '17220817'}, {'screen_name': 'jsalke', 'name': 'jennifer salke', 'id': '451920140'}]",[],['https://pbs.twimg.com/media/FW_xrd3UEAA_hYO.jpg'],340,330,4977,"['thetomorrowwar', 'theterminallist']",[],https://twitter.com/prattprattpratt/status/1544718929712467969,False,,1,https://pbs.twimg.com/media/FW_xrd3UEAA_hYO.jpg,,,,,,,[],,,,
1544472445834252289,1544472445834252289,2022-07-05 17:05:00 Pacific Daylight Time,2022-07-05,17:05:00,-0700,241382835,prattprattpratt,Chris Pratt,,Who binged #TheTerminalList this weekend? 🇺🇸  @TerminalListPV  https://t.co/apuq93sODE,en,"[{'screen_name': 'terminallistpv', 'name': 'the terminal list', 'id': '936372912642068481'}]",[],"['https://pbs.twimg.com/media/FW8RNiaVEAEr2Gd.jpg', 'https://pbs.twimg.com/media/FW8RNibVEAA2DKP.jpg', 'https://pbs.twimg.com/media/FW8RNiyVsAIsBpK.jpg', 'https://pbs.twimg.com/media/FW8RNiaUYAAvtFH.jpg']",1283,322,8226,['theterminallist'],[],https://twitter.com/prattprattpratt/status/1544472445834252289,False,,1,https://pbs.twimg.com/media/FW8RNiaVEAEr2Gd.jpg,,,,,,,[],,,,
1542880747219914752,1542880747219914752,2022-07-01 07:40:10 Pacific Daylight Time,2022-07-01,07:40:10,-0700,241382835,prattprattpratt,Chris Pratt,,"We offer you something different. This is a series made for the special operator, the veteran, the warrior &amp; anyone who wants to watch a damn good show. Thank you to the cast, crew&amp; vets who gave their blood, sweat &amp; tears for this one @TerminalListPV Now Streaming on @PrimeVideo  https://t.co/fkRjk44FFX",en,"[{'screen_name': 'terminallistpv', 'name': 'the terminal list', 'id': '936372912642068481'}, {'screen_name': 'primevideo', 'name': 'prime video', 'id': '17220817'}]",[],['https://pbs.twimg.com/media/FWlp26vVsAEraag.jpg'],473,654,8575,[],[],https://twitter.com/prattprattpratt/status/1542880747219914752,False,,1,https://pbs.twimg.com/media/FWlp26vVsAEraag.jpg,,,,,,,[],,,,
1541915459892629504,1541915459892629504,2022-06-28 15:44:27 Pacific Daylight Time,2022-06-28,15:44:27,-0700,241382835,prattprattpratt,Chris Pratt,,"Thank you @MensHealthMag! I’m honored to be on your cover to talk @TerminalListPV. Thanks Peggy, for the awesome pictures. I LOVE working with you. Thanks @mickeyrapkin – for the article! Big takeaway: I cuss too much— I’m going to work on that. Watch #TheTerminalList on July 1.  https://t.co/AkOCc5B3Ex",en,"[{'screen_name': 'menshealthmag', 'name': ""men's health mag"", 'id': '25093616'}, {'screen_name': 'terminallistpv', 'name': 'the terminal list', 'id': '936372912642068481'}, {'screen_name': 'mickeyrapkin', 'name': 'mickey rapkin', 'id': '81211980'}]",[],"['https://pbs.twimg.com/media/FWX73R7UAAAkw1F.jpg', 'https://pbs.twimg.com/media/FWX74MlUAAALTD4.jpg']",288,220,4456,['theterminallist'],[],https://twitter.com/prattprattpratt/status/1541915459892629504,False,,1,https://pbs.twimg.com/media/FWX73R7UAAAkw1F.jpg,,,,,,,[],,,,
1541459810696081408,1541459810696081408,2022-06-27 09:33:52 Pacific Daylight Time,2022-06-27,09:33:52,-0700,241382835,prattprattpratt,Chris Pratt,,LCDR James Reece. The wait is almost over. @TerminalListPV  https://t.co/z9qn0Pn9v7,en,"[{'screen_name': 'terminallistpv', 'name': 'the terminal list', 'id': '936372912642068481'}]",[],['https://pbs.twimg.com/media/FWRdhf1UIAAnsF-.jpg'],149,273,3979,[],[],https://twitter.com/prattprattpratt/status/1541459810696081408,False,,1,https://pbs.twimg.com/media/FWRdhf1UIAAnsF-.jpg,,,,,,,[],,,,
1541098400107470848,1541098400107470848,2022-06-26 09:37:45 Pacific Daylight Time,2022-06-26,09:37:45,-0700,241382835,prattprattpratt,Chris Pratt,,What’s that I hear? Is it… thunder? Raise your hammers 🔨 for some THOR: Love and Thunder ❤️⚡️ @thorofficial  https://t.co/ADKffRgDWQ,en,"[{'screen_name': 'thorofficial', 'name': 'thor', 'id': '701625379'}]",[],[],171,487,9166,[],[],https://twitter.com/prattprattpratt/status/1541098400107470848,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1541097980173754369/pu/img/ICccEnddp-59RAug.jpg,,,,,,,[],,,,
1540044915387772928,1540043044736552966,2022-06-23 11:51:35 Pacific Daylight Time,2022-06-23,11:51:35,-0700,241382835,prattprattpratt,Chris Pratt,,"@TerminalListPV @PrimeVideo I couldn't have done it w/o #AntoineFuqua @JackCarrUSA #JaredShaw. You inspire me, push me &amp; have made me be a better actor &amp; producer. To my co-stars, I’m so proud of what we made together &amp; it wouldn’t have been possible w/o you. @TerminalListPV - coming to @primevideo July 1.  https://t.co/3zPQ7BUEf0",en,"[{'screen_name': 'jackcarrusa', 'name': 'jack carr', 'id': '895854672400883713'}, {'screen_name': 'terminallistpv', 'name': 'the terminal list', 'id': '936372912642068481'}, {'screen_name': 'primevideo', 'name': 'prime video', 'id': '17220817'}]",[],"['https://pbs.twimg.com/media/FV9WaVVUAAELpqD.jpg', 'https://pbs.twimg.com/media/FV9WaVcVUAA7prv.jpg', 'https://pbs.twimg.com/media/FV9WaVeUUAEWF8A.jpg']",55,85,1411,"['antoinefuqua', 'jaredshaw']",[],https://twitter.com/prattprattpratt/status/1540044915387772928,False,,1,https://pbs.twimg.com/media/FV9WaVVUAAELpqD.jpg,,,,,,,"[{'screen_name': 'TerminalListPV', 'name': 'The Terminal List', 'id': '936372912642068481'}, {'screen_name': 'PrimeVideo', 'name': 'Prime Video', 'id': '17220817'}]",,,,
