id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1552514091356266498,1552514091356266498,2022-07-27 21:39:38 Pacific Daylight Time,2022-07-27,21:39:38,-0700,568545739,dojacat,fart ass,,i lose all control and something literally takes over me on god,en,[],[],[],360,574,8469,[],[],https://twitter.com/DojaCat/status/1552514091356266498,False,,0,,,,,,,,[],,,,
1552513866029903873,1552513866029903873,2022-07-27 21:38:44 Pacific Daylight Time,2022-07-27,21:38:44,-0700,568545739,dojacat,fart ass,,"i get so weak in the fucking knees i can hardly even fucking speak,bitch",en,[],[],[],374,1576,17391,[],[],https://twitter.com/DojaCat/status/1552513866029903873,False,,0,,,,,,,,[],,,,
1552049372703076352,1552049372703076352,2022-07-26 14:53:00 Pacific Daylight Time,2022-07-26,14:53:00,-0700,568545739,dojacat,fart ass,,.@jblaudio see you at #JBLFest    https://t.co/r6lDmAOI0x  https://t.co/A3cGnKbfXf,en,"[{'screen_name': 'jblaudio', 'name': 'jbl', 'id': '33697419'}]",['https://youtu.be/a79fDqoZ3j8'],['https://pbs.twimg.com/media/FYn8rZRUUAUzlhb.jpg'],299,902,14128,['jblfest'],[],https://twitter.com/DojaCat/status/1552049372703076352,False,,1,https://pbs.twimg.com/media/FYn8rZRUUAUzlhb.jpg,,,,,,,[],,,,
1551767876377251842,1551767876377251842,2022-07-25 20:14:26 Pacific Daylight Time,2022-07-25,20:14:26,-0700,568545739,dojacat,fart ass,,wat  https://t.co/sOxMNuE0vN,und,[],[],['https://pbs.twimg.com/media/FYj8o6MUcAAQpWB.jpg'],780,1986,52087,[],[],https://twitter.com/DojaCat/status/1551767876377251842,False,,1,https://pbs.twimg.com/media/FYj8o6MUcAAQpWB.jpg,,,,,,,[],,,,
1551767099168546817,1551767099168546817,2022-07-25 20:11:21 Pacific Daylight Time,2022-07-25,20:11:21,-0700,568545739,dojacat,fart ass,,i creamed,en,[],[],[],1412,3142,49481,[],[],https://twitter.com/DojaCat/status/1551767099168546817,False,,0,,,,,,,,[],,,,
1551612308543090688,1551611379420782592,2022-07-25 09:56:16 Pacific Daylight Time,2022-07-25,09:56:16,-0700,568545739,dojacat,fart ass,,@lilhornymonkey can i have 20 bucks,en,[],[],[],55,12,1529,[],[],https://twitter.com/DojaCat/status/1551612308543090688,False,,0,,,,,,,,"[{'screen_name': 'lilhornymonkey', 'name': 'YB NEVER HUNGRY AGAIN', 'id': '1165074803432337409'}]",,,,
1551611497322725376,1551611497322725376,2022-07-25 09:53:03 Pacific Daylight Time,2022-07-25,09:53:03,-0700,568545739,dojacat,fart ass,,Fun surprise on  https://t.co/Au5l9jGAOH password is for fans on my newsletter list,en,[],['http://DojaCat.com'],[],335,324,5588,[],[],https://twitter.com/DojaCat/status/1551611497322725376,False,,0,,,,,,,,[],,,,
1551611379420782592,1551611379420782592,2022-07-25 09:52:35 Pacific Daylight Time,2022-07-25,09:52:35,-0700,568545739,dojacat,fart ass,,fart ass,en,[],[],[],940,3591,50898,[],[],https://twitter.com/DojaCat/status/1551611379420782592,False,,0,,,,,,,,[],,,,
1551611339872747521,1551611339872747521,2022-07-25 09:52:25 Pacific Daylight Time,2022-07-25,09:52:25,-0700,568545739,dojacat,fart ass,,New vid rocks. Post Malone is extremely sweet and rad. Child i love you you fuckin killed it.,en,[],[],[],318,1324,30636,[],[],https://twitter.com/DojaCat/status/1551611339872747521,False,,0,,,,,,,,[],,,,
1551414619394039808,1551414619394039808,2022-07-24 20:50:43 Pacific Daylight Time,2022-07-24,20:50:43,-0700,568545739,dojacat,fart ass,,we should all give me 20 dollars.,en,[],[],[],2305,4355,47268,[],[],https://twitter.com/DojaCat/status/1551414619394039808,False,,0,,,,,,,,[],,,,
1545267300445462528,1545267300445462528,2022-07-07 21:43:28 Pacific Daylight Time,2022-07-07,21:43:28,-0700,568545739,dojacat,fart ass,,im about to do something drastic  https://t.co/fPw4SuKFHZ,en,[],[],['https://pbs.twimg.com/media/FXHkazHVEAELdX8.jpg'],1786,3557,100006,[],[],https://twitter.com/DojaCat/status/1545267300445462528,False,,1,https://pbs.twimg.com/media/FXHkazHVEAELdX8.jpg,,,,,,,[],,,,
1545266710663401472,1545264013935648769,2022-07-07 21:41:08 Pacific Daylight Time,2022-07-07,21:41:08,-0700,568545739,dojacat,fart ass,,@IsrlG33244322 that’s dope i get that,en,[],[],[],136,39,3866,[],[],https://twitter.com/DojaCat/status/1545266710663401472,False,,0,,,,,,,,"[{'screen_name': 'IsrlG33244322', 'name': 'Israel Garcia', 'id': '1491582124561944579'}]",,,,
